Variables;Tegou 2010;Hoffer 2016;Atici 2015;Mentis 2015;Latinopoulos 2015;Noorollahi 2016;Siyal 2015;Sanchez-Lozano 2016
Distancia a áreas residenciales (urbanas, rurales);x;x;x;x;x;x;x;x
Distancias a Autopistas, carreteras, caminos;x;x;x;;x;x;x;x
Distancias a ferrovías;;x;x;;x;x;x;
Distancias a Aeropuertos;x;;x;;x;x;x;x
Ríos, Lagos, líneas costeras (cuerpos de agua);x;x;x;x;x;x;x;x
Distancia a áreas protegidas (naturales o militares);x;x;x;x;x;x;x;x
Distancias a áreas de Interés Nacional (culturales, arqueológicas, religiosas, recreacionales);x;x;;;x;x;x;x
Fallas;;;x;;;x;;
Distancia a líneas de transmisión eléctrica ;x;x;x;x;;x;x;x
Velocidad del Viento (potencial éolico);x;x;x;x;x;x;x;x
Elevación;;;x;x;;x;x;
Pendiente (%);x;;x;x;x;x;x;
Usos de la Tierra;x;;;x;x;;;
Demanda de Electricidad;x;;;;;;;
Factor de Capacidad;;;x;;;;;
Distancia a sitios de minería;;;x;;;;;
Distancia a estaciones de TV o Radio;;;x;;;;;x
